ID,Age_cal,Precision
5644,16576,499
7048,16576,499
7074,16576,499
7107,16576,499
7411,16576,499
8738,16576,499
9002,16576,499
1814,50,0
1227,37939,707
2068,37939,707
2898,37939,707
2899,37939,707
4299,37939,707
4624,37939,707
4715,37939,707
5163,37939,707
3359,37546,684
3387,37546,684
4298,37546,684
4714,37546,684
6634,37546,684
1226,37141,678
4296,37141,678
1219,34350,386
2066,34350,386
2892,34350,386
2893,34350,386
4292,34350,386
4623,34350,386
4709,34350,386
5161,34350,386
1217,33732,261
3384,33732,261
4706,33732,261
8047,33732,261
1216,32839,453
2882,32839,453
4286,32839,453
4703,32839,453
6433,32839,453
1214,32205,346
4285,32205,346
1971,26840,223
611,127,78
5626,23355,180
3369,44249,164
516,41376,3301
517,40889,2471
1235,41376,3301
1236,40889,2471
3362,41376,3301
3363,40889,2471
6026,41376,3301
6027,40889,2471
6637,41376,3301
6638,40889,2471
7575,41376,3301
7576,40889,2471
4235,52000,0
503,45669,1812
3066,45669,1812
3706,45669,1812
4056,45669,1812
4231,45669,1812
4459,45669,1812
5475,45669,1812
5720,45669,1812
6199,45669,1812
6850,45669,1812
7539,45669,1812
7744,45669,1812
8619,45669,1812
410,45271,1315
3064,45271,1315
3639,45271,1315
3997,45271,1315
4103,45271,1315
4399,45271,1315
5421,45271,1315
5651,45271,1315
6153,45271,1315
6798,45271,1315
7694,45271,1315
8563,45271,1315
502,44805,1685
3065,44805,1685
3705,44805,1685
4055,44805,1685
4230,44805,1685
4458,44805,1685
5474,44805,1685
5719,44805,1685
6198,44805,1685
6849,44805,1685
7538,44805,1685
7743,44805,1685
8618,44805,1685
7537,43453,1724
185,39915,2009
501,39915,2009
661,39915,2009
917,39915,2009
3584,39915,2009
3767,39915,2009
4054,39915,2009
4228,39915,2009
4457,39915,2009
5049,39915,2009
5294,39915,2009
5954,39915,2009
6236,39915,2009
6301,39915,2009
6593,39915,2009
6761,39915,2009
6931,39915,2009
7106,39915,2009
7150,39915,2009
7295,39915,2009
7574,39915,2009
7683,39915,2009
7794,39915,2009
7936,39915,2009
8153,39915,2009
8238,39915,2009
8952,39915,2009
9199,39915,2009
184,37011,1473
500,37011,1473
660,37011,1473
916,37011,1473
2711,37011,1473
3580,37011,1473
3766,37011,1473
4053,37011,1473
4226,37011,1473
4456,37011,1473
5048,37011,1473
5291,37011,1473
5718,37011,1473
5953,37011,1473
6233,37011,1473
6300,37011,1473
6591,37011,1473
6759,37011,1473
6930,37011,1473
7105,37011,1473
7149,37011,1473
7294,37011,1473
7571,37011,1473
7682,37011,1473
7793,37011,1473
7935,37011,1473
8152,37011,1473
8235,37011,1473
8617,37011,1473
8951,37011,1473
9198,37011,1473
183,36453,1654
499,36453,1654
659,36453,1654
915,36453,1654
3579,36453,1654
3765,36453,1654
4052,36453,1654
4225,36453,1654
4455,36453,1654
5047,36453,1654
5290,36453,1654
5952,36453,1654
6232,36453,1654
6299,36453,1654
6590,36453,1654
6758,36453,1654
6929,36453,1654
7104,36453,1654
7148,36453,1654
7293,36453,1654
7570,36453,1654
7681,36453,1654
7792,36453,1654
7934,36453,1654
8151,36453,1654
8234,36453,1654
8950,36453,1654
9197,36453,1654
182,36120,1804
498,36120,1804
658,36120,1804
914,36120,1804
2704,36120,1804
3423,36120,1804
3578,36120,1804
4051,36120,1804
